Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Price_SGD
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,8,512,True,1.95,16.0,2077.09
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,64,1024,False,3.17,17.3,3027.73
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4070,128,4096,True,1.72,16.0,4302.04
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,2048,True,3.01,18.4,3038.55
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 3050,64,1024,True,1.16,14.0,2464.27
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,16,4096,False,1.02,14.0,3400.25
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,2048,True,2.58,17.3,2111.55
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,16,512,False,1.53,15.6,3594.19
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 3050,64,4096,False,1.94,15.6,2704.5
Acer,Swift 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,1024,False,1.59,15.6,2290.76
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,4096,True,2.34,15.6,3217.89
Acer,Swift 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,2048,False,1.22,14.0,2759.41
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,512,True,1.46,14.0,3819.44
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,1.96,16.0,3337.86
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,2048,False,2.98,18.4,3313.21
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,64,4096,False,2.23,16.0,3760.72
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,2048,True,1.48,13.3,2758.37
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,4096,True,2.53,18.4,4436.42
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,512,True,2.63,18.4,2668.91
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,True,2.44,15.6,2789.26
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4070,32,1024,True,1.19,13.3,3702.19
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,8,4096,True,1.18,13.3,3451.52
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,8,1024,False,1.35,14.0,1621.03
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,1024,False,2.92,17.3,2119.11
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,512,True,3.37,17.3,1816.44
Acer,Aspire 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,1024,True,2.15,15.6,3770.95
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,4096,False,2.44,16.0,3374.45
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,32,2048,True,1.76,15.6,2223.44
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4080,32,512,False,2.79,18.4,3758.19
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,128,2048,False,1.37,13.3,4843.36
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,256,True,1.21,13.3,2452.23
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,32,256,True,2.62,18.4,1922.09
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,32,512,False,2.4,16.0,1968.5
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,1024,True,1.18,14.0,3475.95
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,16,256,True,2.27,15.6,1936.67
Acer,Nitro 5,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,2048,False,2.01,15.6,3496.83
Acer,TravelMate P6,Intel i5-14500H,Intel Iris Xe,64,512,False,1.47,14.0,2122.96
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,512,True,1.42,14.0,4384.66
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,2048,False,2.52,17.3,4401.21
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,128,1024,False,1.25,13.3,3235.39
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,1024,True,1.11,13.3,2997.51
Acer,Predator Helios 300,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,4096,True,2.75,18.4,3229.59
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,8,1024,False,3.11,17.3,2032.06
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 4050,128,1024,True,1.3,13.3,3250.07
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,4096,False,2.8,18.4,4284.91
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,1024,True,1.1,14.0,2725.11
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,2048,False,3.06,18.4,4099.08
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.9,16.0,4422.32
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,16,2048,False,1.79,15.6,3140.93
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,512,False,1.46,14.0,4011.21
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,2.43,15.6,3941.46
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,1024,False,3.25,18.4,2584.97
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,4096,True,2.24,15.6,4062.59
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,64,512,False,1.16,14.0,3075.1
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,2048,False,1.97,15.6,4517.26
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,256,False,1.12,13.3,2813.54
Acer,Nitro 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,1.39,14.0,3172.75
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,4096,True,1.17,14.0,2727.54
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,8,1024,False,1.22,14.0,2596.68
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,64,256,True,3.0,18.4,4187.78
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,8,1024,True,1.31,13.3,3011.62
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,8,1024,False,1.2,14.0,1840.63
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,64,256,True,2.75,17.3,2254.59
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,4096,True,2.84,18.4,3015.9
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,1024,True,3.15,18.4,1990.09
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,2048,True,2.56,18.4,4376.11
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,8,2048,True,3.13,18.4,3427.18
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,16,2048,False,2.92,18.4,1814.86
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,2048,True,2.73,17.3,2835.7
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,4096,True,3.4,17.3,2231.8
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 4050,128,512,False,1.47,14.0,2959.19
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,2.36,15.6,2664.88
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,8,1024,True,3.01,17.3,3423.88
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,64,512,False,1.19,13.3,2856.85
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,128,512,True,3.07,18.4,2857.44
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,True,3.15,17.3,3839.79
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,2048,False,2.84,18.4,3748.44
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,1024,False,3.35,17.3,3083.2
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,32,512,False,2.56,18.4,1844.34
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,False,1.35,14.0,2604.59
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,1024,False,2.28,15.6,4699.49
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,16,512,False,1.05,13.3,3122.33
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,1.41,14.0,2635.13
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,4096,True,1.67,16.0,2309.72
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,2048,False,1.17,14.0,3923.42
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,32,256,True,2.39,16.0,2032.49
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,8,1024,False,1.22,13.3,3104.84
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,256,False,1.45,14.0,4534.3
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,32,2048,False,2.01,15.6,4107.86
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,1024,False,1.86,15.6,2651.28
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,64,256,False,2.02,15.6,2957.54
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,True,1.38,14.0,4248.74
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,64,512,True,1.09,13.3,2267.44
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,128,256,True,2.45,16.0,2839.24
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,3.48,18.4,1826.27
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,256,False,1.32,13.3,2681.47
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,1024,False,1.45,13.3,2159.01
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,512,False,1.67,16.0,2748.41
Acer,Swift 3,AMD Ryzen 7 8800H,AMD Radeon 780M,128,512,True,2.89,17.3,3388.7
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,False,2.33,15.6,2908.78
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,512,True,1.82,15.6,2904.91
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,512,False,1.42,14.0,2512.37
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4080,64,4096,True,1.8,15.6,4393.52
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,32,256,False,1.58,15.6,2223.68
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,False,1.93,16.0,4002.32
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,256,True,1.37,13.3,3627.1
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4070,32,4096,True,1.66,15.6,3460.41
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,512,False,2.79,18.4,2444.32
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,128,256,True,2.54,17.3,3173.0
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,512,True,3.0,17.3,3801.28
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,32,512,True,2.32,15.6,2826.32
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,32,4096,False,1.55,16.0,3168.98
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,64,4096,False,2.23,15.6,4168.27
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,128,2048,True,1.49,13.3,4083.47
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,4096,False,3.01,17.3,3652.13
Acer,Aspire 5,AMD Ryzen 5 8600H,AMD Radeon 680M,32,512,True,3.27,17.3,2069.25
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,64,256,True,1.92,15.6,2334.51
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,128,256,False,1.26,14.0,2775.19
Acer,TravelMate P6,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,2048,False,3.01,18.4,2363.98
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,512,False,1.18,13.3,2942.39
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,32,2048,False,1.74,15.6,2356.07
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,64,2048,False,1.18,13.3,3144.57
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,2048,False,1.35,14.0,2761.05
Acer,Aspire 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,64,4096,True,1.89,15.6,3697.23
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,False,2.29,16.0,1586.89
Acer,Aspire 5,Intel i5-14600H,NVIDIA RTX 3050,128,4096,True,1.1,13.3,3442.83
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,False,1.38,14.0,2938.73
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,512,False,1.3,13.3,2712.2
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,32,1024,False,1.19,14.0,3533.87
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,256,False,1.4,14.0,2430.53
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,4096,False,1.42,14.0,2619.77
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,128,1024,False,3.05,18.4,3356.38
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,2.3,15.6,3322.05
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,64,4096,False,1.04,14.0,2665.01
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,256,False,2.36,16.0,2504.83
Acer,Nitro 5,AMD Ryzen 5 8600H,AMD Radeon 680M,8,512,False,3.42,17.3,1694.27
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4060,8,4096,False,2.7,17.3,2902.12
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,32,1024,True,2.91,18.4,2991.26
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,8,256,False,2.66,17.3,1673.08
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,1024,True,1.6,15.6,4426.05
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 3050,32,2048,False,1.34,14.0,2023.86
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,True,2.6,18.4,3129.75
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,1024,False,2.19,16.0,3075.41
Acer,TravelMate P6,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,False,3.5,18.4,3646.48
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,128,4096,True,2.24,16.0,3355.66
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,16,4096,True,1.23,13.3,2213.23
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.54,16.0,4592.36
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4080,64,1024,False,2.81,17.3,3731.47
Acer,TravelMate P6,Intel i5-14600H,Intel Iris Xe,16,1024,False,2.29,15.6,1812.09
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,32,2048,False,1.12,14.0,2928.51
Acer,Swift 3,AMD Ryzen 5 8600H,AMD Radeon 680M,128,2048,False,2.39,16.0,2940.54
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,2048,False,1.47,13.3,1908.86
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,1024,False,1.1,14.0,2217.88
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,2048,True,3.23,18.4,4225.0
Acer,Predator Helios 300,Intel i5-14600H,Intel Iris Xe,32,256,False,1.09,14.0,2017.64
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,128,256,False,1.16,14.0,3922.41
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,128,512,True,1.37,14.0,4813.08
Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,True,1.32,13.3,1701.94
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,2048,False,2.04,16.0,3635.58
Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,256,False,2.45,15.6,3373.59
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,2.96,18.4,4090.2
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,8,1024,False,1.29,14.0,2358.57
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,256,False,2.73,17.3,4064.52
Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,256,True,2.39,16.0,2661.2
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4070,64,512,True,3.23,18.4,3457.11
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,8,256,True,2.77,17.3,2193.48
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4070,64,512,True,1.17,14.0,3841.45
Asus,ZenBook 14,Intel i9-14900HK,NVIDIA RTX 4070,64,4096,False,2.02,15.6,4096.56
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,1024,True,1.19,13.3,4070.94
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,256,False,2.77,17.3,1756.98
Asus,ExpertBook B9,AMD Ryzen 5 8600H,AMD Radeon 680M,32,256,False,1.17,14.0,1958.51
Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,True,2.31,16.0,3160.64
Asus,VivoBook S15,Intel i7-14700H,NVIDIA RTX 4060,64,256,True,1.36,13.3,3025.23
Asus,VivoBook S15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,256,False,2.21,15.6,3190.75
Asus,VivoBook S15,Intel i5-14600H,Intel Iris Xe,128,2048,False,2.5,18.4,2990.98
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,1.3,13.3,3948.46
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,128,2048,True,1.04,14.0,3363.75
Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,2.63,17.3,3283.06
Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,1.01,13.3,4021.99
Asus,ZenBook 14,Intel i5-14600H,NVIDIA RTX 4050,8,256,False,2.52,18.4,2022.28
Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 4050,64,2048,False,2.75,18.4,2740.8
Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,1024,True,1.43,13.3,1911.38
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,AMD Radeon 780M,16,4096,False,3.32,17.3,3063.62
Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 4050,64,512,False,1.47,14.0,2422.66
Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,256,True,1.02,13.3,2367.58
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,512,False,2.01,16.0,4008.66
Asus,TUF Gaming F15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,2048,False,3.26,17.3,3839.31
Asus,ExpertBook B9,Intel i7-14800H,NVIDIA RTX 4070,16,4096,True,1.76,15.6,3363.31
Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,4096,False,2.02,16.0,2537.55
Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4060,128,2048,False,2.63,17.3,3808.47
Asus,ROG Zephyrus G15,Intel i5-14500H,Intel Iris Xe,128,1024,True,2.48,16.0,3027.43
Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4070,32,512,False,1.55,16.0,2999.28
Asus,TUF Gaming F15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,256,True,2.91,17.3,3098.0
Asus,VivoBook S15,Intel i5-14500H,NVIDIA RTX 4050,32,1024,True,2.58,17.3,2432.72
Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,32,2048,False,3.08,17.3,3982.66
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4060,128,4096,True,1.25,14.0,4185.81
Asus,ExpertBook B9,Intel i5-14600H,Intel Iris Xe,16,1024,False,2.23,15.6,1886.7
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4060,16,512,False,2.32,15.6,2631.54
Asus,TUF Gaming F15,AMD Ryzen 7 8800H,AMD Radeon 780M,8,1024,True,2.79,18.4,2457.04
Asus,ZenBook 14,Intel i5-14500H,NVIDIA RTX 4050,32,1024,False,1.09,13.3,2354.39
Asus,ROG Zephyrus G15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,4096,False,2.12,16.0,2617.15
Asus,ZenBook 14,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,4096,True,1.51,15.6,4468.19
Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,1024,False,1.11,14.0,2674.2
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4060,128,1024,False,2.26,15.6,3686.26
Asus,VivoBook S15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,1024,False,1.45,13.3,3399.98
Asus,ZenBook 14,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,512,False,1.21,14.0,2795.08
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,2048,False,1.3,13.3,3904.66
Asus,ZenBook 14,Intel i5-14500H,NVIDIA RTX 4050,16,256,True,2.1,15.6,2160.63
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,Intel Arc A750M,64,256,True,1.43,13.3,2206.92
Asus,ExpertBook B9,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,4096,False,1.44,13.3,3189.25
Asus,ExpertBook B9,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,256,False,2.51,18.4,3576.39
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,16,4096,False,3.05,18.4,2675.74
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,256,True,3.32,18.4,2804.25
Asus,VivoBook S15,Intel i5-14600H,NVIDIA RTX 3050,16,256,False,1.04,14.0,1842.63
Asus,VivoBook S15,Intel i5-14500H,Intel Iris Xe,16,256,False,1.63,16.0,1805.75
Asus,ZenBook 14,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,2048,True,1.25,13.3,2846.29
Asus,ZenBook 14,Intel Core Ultra 9 15700H,Intel Arc A750M,32,512,True,1.05,13.3,2042.63
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4070,16,256,True,2.52,17.3,3063.5
Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 3050,8,2048,False,1.43,14.0,1906.63
Asus,ExpertBook B9,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,512,False,3.05,18.4,3423.86
Asus,ROG Zephyrus G15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,16,4096,True,2.24,15.6,3775.87
Asus,TUF Gaming F15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,512,True,1.05,13.3,2762.27
Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,4096,False,2.66,17.3,2148.09
Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4080,32,1024,True,1.99,15.6,4068.28
Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4070,128,256,True,1.24,13.3,4264.27
